order_id,customer_id,amount_usd,order_status,customer_email,created_at
1001,501,199.00,completed,alice@example.com,2024-06-15 14:00:12
1002,502,245.50,completed,bob@example.com,2024-06-03 09:22:41
1003,501,349.00,completed,alice@example.com,2024-06-15 14:01:33
1004,501,499.00,processing,alice@example.com,2024-06-15 14:02:07
1005,503,129.99,pending,charlie@example.com,2024-06-07 16:45:09
1006,501,85.00,completed,alice@example.com,2024-06-15 14:03:45
1007,508,162.00,cancelled,frank@example.com,2024-06-10 11:30:22
1008,501,4999.99,completed,alice@example.com,2024-06-15 14:04:18
1009,504,287.50,completed,diana@example.com,2024-06-15 14:04:45
1010,509,134.99,cancelled,grace@example.com,2024-06-05 19:42:11
1011,501,349.00,completed,alice@example.com,2024-06-15 14:05:02
1012,501,75.00,pending,alice@example.com,2024-06-15 14:05:44
1013,505,352.00,completed,eve@example.com,2024-06-18 10:08:55
1014,508,241.00,cancelled,frank@example.com,2024-06-09 14:22:37
1015,501,199.00,completed,alice@example.com,2024-06-15 14:06:19
1016,506,168.00,processing,henry@example.com,2024-06-02 13:55:48
1017,501,349.00,completed,alice@example.com,2024-06-15 14:06:58
1018,509,127.50,cancelled,grace@example.com,2024-06-14 17:33:05
1019,501,55.00,completed,alice@example.com,2024-06-15 14:07:30
1020,507,395.00,completed,irene@example.com,2024-06-19 12:10:42
1021,501,499.00,completed,alice@example.com,2024-06-15 14:08:11
1022,502,189.99,pending,bob@example.com,2024-06-08 07:50:16
1023,501,199.00,completed,alice@example.com,2024-06-15 14:08:49
1024,508,155.00,cancelled,frank@example.com,2024-06-11 15:28:03
1025,501,349.00,processing,alice@example.com,2024-06-15 14:09:22
1026,503,142.00,completed,charlie@example.com,2024-06-20 18:05:37
1027,501,65.00,completed,alice@example.com,2024-06-15 14:09:55
1028,504,119.99,cancelled,diana@example.com,2024-06-06 21:17:44
1029,501,499.00,completed,alice@example.com,2024-06-01 10:30:00
1030,501,45.00,completed,alice@example.com,2024-06-17 22:14:28
